hid,DAYS ON MARKET,front,back,side,inside,collage,trees,sky,lawn,PROP TYPE,estimate,LIST PRICE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT
1,4,1,0,0,0,0,1,1,1,Single Family Residential,834211,839800,20170,839800,4,3.5,4536,1985
2,23,1,0,0,0,0,1,1,1,Single Family Residential,712864,699900,20191,701210,5,2.5,2177,1974
3,6,1,0,0,0,0,1,1,0,Townhouse,580151,574900,20194,574900,2,3,1602,1992
4,2,0,0,0,1,0,1,0,0,Condo/Co-op,434805,435000,20190,430000,2,2,1077,2000
5,11,0,0,1,0,0,1,1,0,Townhouse,824444,795000,20190,795000,3,2.5,1702,1965
6,9,0,0,0,1,0,1,0,0,Condo/Co-op,210800,199000,20190,210000,1,1,680,1971
7,10,1,0,0,0,0,1,1,1,Single Family Residential,798111,785000,20194,785000,3,3.5,2995,1989
8,9,1,0,0,0,0,1,1,0,Condo/Co-op,577108,595000,20190,569900,3,2,1519,2005
9,23,0,0,0,1,0,1,0,0,Condo/Co-op,292005,284500,20190,290500,2,2,934,1985
10,5,1,0,0,0,0,1,1,0,Condo/Co-op,342356,345000,20190,340000,1,1,833,2005
11,6,1,0,0,0,0,1,1,1,Townhouse,464266,450000,20194,465000,3,3.5,1300,1987
12,5,1,0,0,0,0,1,0,0,Townhouse,915466,945000,20190,900000,3,3.5,2896,2000
13,16,1,0,0,0,0,1,0,1,Single Family Residential,791094,803000,20190,820500,4,3,3098,1970
14,18,1,0,0,0,0,1,1,0,Other,642580,615000,20190,628000,5,3,2657,1970
15,18,1,0,0,0,0,1,1,0,Townhouse,720609,689900,20190,705000,4,2.5,1885,1971
16,18,1,0,0,0,0,1,0,1,Townhouse,393129,369500,20194,368000,2,2,1155,1983
17,16,0,0,0,0,0,0,0,0,Single Family Residential,1171323,1200000,20194,1200000,4,4.5,3384,1986
18,2,1,0,0,0,0,1,1,0,Townhouse,499933,499900,20194,515300,3,2.5,1296,1997
19,18,1,0,0,0,0,1,1,1,Single Family Residential,861097,860000,20194,845000,4,3.5,4523,1985
20,3,1,0,0,0,0,1,1,0,Townhouse,566844,563500,20190,609750,4,2.5,2316,1969
21,3,1,0,0,0,0,1,0,1,Single Family Residential,774746,775000,20191,775000,5,3.5,2269,1983
22,16,1,0,0,0,0,1,1,0,Townhouse,533050,485000,20191,523000,3,3.5,1828,1981
23,2,1,0,0,0,0,1,1,0,Townhouse,560304,567000,20191,570000,2,2,1982,1985
24,16,1,0,0,0,0,1,1,0,Townhouse,528543,515000,20191,531550,3,2.5,1636,1986
25,9,1,0,0,0,0,1,1,1,Single Family Residential,675672,682000,20191,642000,4,3.5,2700,1976
26,26,1,0,0,0,0,1,1,1,Townhouse,549923,519900,20190,555600,3,2.5,1780,1967
27,23,0,0,1,0,0,0,1,0,Condo/Co-op,665939,795000,20190,642000,2,2,1523,2006
28,19,1,0,0,0,0,1,1,0,Condo/Co-op,362309,355000,20190,350000,1,1,883,2004
29,19,1,0,0,0,0,1,0,1,Single Family Residential,870020,895000,20191,845000,4,4,3979,1981
30,19,0,0,1,0,0,0,0,0,Condo/Co-op,463129,457888,20190,457888,3,2,1336,2000
31,26,1,0,0,0,0,1,1,0,Townhouse,628267,639900,20190,620000,3,2.5,1876,1999
32,6,1,0,0,0,0,1,1,0,Townhouse,459482,444900,20191,450000,3,2,1320,1972
33,23,0,0,0,0,0,0,0,0,Condo/Co-op,247410,230000,20190,230000,1,1,1002,1973
34,10,1,1,0,1,1,1,1,1,Single Family Residential,784789,779000,20191,779000,4,3,3289,1969
35,12,1,0,0,0,0,1,1,1,Townhouse,503083,469000,20191,486500,3,3,2374,1977
36,23,1,0,0,0,0,1,1,0,Townhouse,489872,469900,20191,481300,3,2.5,1700,1974
37,10,1,0,0,0,0,1,1,0,Condo/Co-op,434847,429000,20190,429000,1,1,1000,2007
38,11,1,0,0,0,0,1,1,0,Condo/Co-op,314709,299900,20191,299900,2,2,1253,1976
39,12,1,0,0,0,0,1,1,1,Single Family Residential,582419,525000,20191,533500,5,2.5,2420,1981
40,13,1,0,0,0,0,1,0,1,Single Family Residential,864343,825000,20194,810000,5,3.5,3040,1985
41,23,1,0,0,0,0,1,1,0,Townhouse,484762,469900,20191,480000,3,2.5,1640,1976
42,10,1,0,0,0,0,1,1,0,Single Family Residential,891180,879900,20194,882000,5,3.5,4145,1994
43,5,1,0,0,0,0,1,1,1,Single Family Residential,508830,509000,20171,515000,4,3,1524,1978
44,2,1,0,0,1,1,1,0,0,Townhouse,870295,875000,20190,865000,3,2.5,2579,1998
45,2,1,0,0,0,0,1,1,1,Townhouse,595342,599900,20194,588000,4,3.5,1874,1988
46,2,0,0,1,0,0,1,0,1,Condo/Co-op,312395,325000,20191,310000,2,2,1108,1986
47,2,0,0,0,1,0,1,0,0,Townhouse,495359,494900,20191,520000,3,3.5,1466,1972
48,2,0,0,0,1,0,1,0,0,Condo/Co-op,421956,429900,20191,427000,2,2.5,1120,1982
49,12,1,0,0,0,0,1,1,1,Single Family Residential,1127526,1100000,22182,1152500,4,4.5,4815,1994
50,17,1,0,0,0,0,1,1,1,Single Family Residential,1192143,1190000,22182,1155000,5,5.5,6084,1998
51,26,0,0,1,0,0,0,0,0,Condo/Co-op,267537,259990,20190,265000,2,2,998,1967
52,12,1,0,0,0,0,1,1,0,Townhouse,561962,549000,20191,550000,3,3.5,2296,1972
53,6,1,0,0,0,0,1,1,0,Townhouse,615614,620000,20191,605000,4,3.5,2686,1972
54,5,1,0,0,0,0,1,1,1,Condo/Co-op,217987,220000,20191,215000,3,1,1004,1973
55,5,0,0,1,0,0,1,0,1,Townhouse,807847,810000,20194,800000,4,3.5,2576,1996
56,3,1,0,0,0,0,1,0,1,Single Family Residential,698538,699999,20191,699999,5,3,2903,1971
57,16,1,0,0,0,0,1,1,1,Single Family Residential,720015,700000,20194,710000,4,3.5,2468,1984
58,27,0,0,1,0,0,0,0,0,Condo/Co-op,386858,374900,20190,385000,1,1,891,2004
59,26,0,0,1,0,0,0,0,0,Condo/Co-op,247506,245000,20191,245000,2,1,1073,1972
60,26,1,0,1,0,1,1,1,1,Single Family Residential,1001373,1029000,20194,950000,5,4.5,5252,1997
61,23,1,0,0,0,0,1,0,0,Townhouse,530294,519000,20194,532000,3,3.5,1638,1996
62,6,1,0,0,0,0,1,1,1,Single Family Residential,789363,785000,20191,775000,3,2.5,2892,1997
63,13,1,0,0,0,0,1,1,1,Townhouse,483533,468000,20191,480000,3,3,1452,1979
64,4,1,0,0,0,0,1,0,0,Condo/Co-op,304924,305000,20191,305000,2,2,1136,1986
65,2,1,0,0,0,0,1,0,1,Single Family Residential,758938,769029,20191,750000,5,3.5,3200,1969
66,20,1,0,0,0,0,1,1,0,Townhouse,521561,499900,20171,520000,3,3,2448,1999
67,3,1,0,0,0,0,1,1,1,Condo/Co-op,242450,244900,20171,238000,1,1,664,2005
68,26,1,0,0,0,0,0,0,1,Townhouse,407187,409900,20194,412300,2,1.5,930,1983
69,13,1,0,0,0,0,1,0,0,Townhouse,808063,815000,20190,780000,3,3.5,1740,1971
70,23,1,0,0,0,0,1,0,0,Single Family Residential,715409,709900,20194,709900,4,3.5,2352,1985
71,23,1,0,0,0,0,1,1,0,Townhouse,897908,875000,20190,875000,4,3,1836,1965
72,23,1,0,0,0,0,1,1,1,Townhouse,603306,599999,20194,600000,4,3.5,1860,1988
73,18,0,0,0,1,0,0,0,0,Condo/Co-op,415162,425000,20190,410000,1,1.5,1038,2004
74,11,1,0,0,1,1,1,0,0,Townhouse,567282,525000,20190,540000,3,3,2030,1979
75,6,1,0,0,0,0,1,0,1,Single Family Residential,599890,679900,20190,641786,4,2.5,2496,1970
76,17,1,0,0,0,0,1,1,0,Townhouse,675083,679900,20190,660000,3,3,1974,1998
77,9,1,0,0,0,0,1,1,0,Condo/Co-op,299699,298000,20190,298000,1,1,754,2004
78,17,1,0,0,0,0,1,0,1,Townhouse,426104,395000,20194,395550,3,2.5,1340,1987
79,2,1,0,0,0,0,1,0,0,Townhouse,595562,596500,20194,596500,3,3.5,2106,1993
80,16,1,0,0,0,0,1,1,1,Townhouse,473884,445000,20190,465000,3,2.5,1550,1967
81,2,1,0,0,0,0,1,0,0,Townhouse,599891,625000,20190,610000,3,2.5,1580,1983
82,26,1,0,0,0,0,1,0,1,Townhouse,404695,400000,20191,410000,2,2.5,1224,1984
83,13,1,0,0,0,0,1,0,1,Single Family Residential,658335,639900,20191,650000,3,3.5,2192,1983
84,18,1,0,0,0,0,1,0,1,Townhouse,457132,449999,20191,450000,3,2.5,1555,1983
85,13,1,0,0,0,0,1,0,0,Townhouse,467498,440000,20191,452500,3,3.5,2187,1974
86,23,1,0,0,0,0,1,0,0,Single Family Residential,675722,639900,20191,640000,4,3,2275,1965
87,10,1,0,0,0,0,1,1,1,Single Family Residential,814792,849999,20191,785000,4,3.5,3066,1996
88,27,1,0,0,0,0,0,1,0,Townhouse,377057,359950,20191,359950,3,2.5,1260,1981
89,6,1,0,0,0,0,1,0,0,Townhouse,542428,519900,20191,540000,3,4,1934,1972
90,23,1,0,0,0,0,1,1,1,Townhouse,992288,940995,20191,1000483,4,4.5,3044,2019
92,18,1,0,0,0,0,1,0,0,Townhouse,395743,387500,20191,390000,2,2.5,1041,1985
93,2,1,0,0,0,0,1,1,0,Townhouse,518336,520000,20191,535000,3,3.5,1640,1972
94,2,1,0,0,0,0,1,1,0,Condo/Co-op,278620,282500,20191,262500,1,1,660,2006
95,2,1,0,0,0,0,1,1,1,Single Family Residential,649560,649800,20191,670000,4,2.5,2176,1972
96,9,1,0,0,0,0,1,0,0,Townhouse,446180,439900,20194,439900,3,2.5,1550,1984
97,9,0,0,0,1,0,0,0,0,Condo/Co-op,701106,685000,20190,685000,3,2,1619,2006
98,9,0,0,0,1,0,1,0,0,Condo/Co-op,418352,407900,20194,417000,2,2.5,1250,1996
99,20,1,0,0,0,0,1,1,1,Single Family Residential,569918,602950,20194,551985,4,3.5,1638,1985
100,16,0,1,0,0,0,1,1,1,Single Family Residential,929863,939000,20194,939000,3,2.5,3354,1994
101,2,1,0,0,0,0,1,1,1,Single Family Residential,771971,775000,20170,775000,4,3,3253,1986
102,11,1,0,0,0,0,1,1,1,Single Family Residential,868341,854900,20194,815000,4,4.5,2898,1998
103,9,1,0,0,0,0,1,1,1,Single Family Residential,998733,989000,20194,998000,5,3.5,4649,1994
104,18,1,0,0,0,0,1,1,0,Townhouse,757551,749000,20194,750000,4,3.5,2844,1990
106,2,1,0,0,0,0,1,1,1,Single Family Residential,993540,1100000,20194,960000,5,4.5,5014,1993
107,27,1,0,0,0,0,1,0,0,Townhouse,347012,330000,20191,331000,3,1.5,1197,1972
108,10,1,0,0,0,0,1,0,1,Single Family Residential,901328,880000,20191,880000,5,4.5,5091,1971
109,9,1,0,0,0,0,1,1,1,Single Family Residential,624705,599999,20191,599999,4,3,2464,1977
110,24,1,0,0,0,0,1,1,1,Single Family Residential,638657,625000,20191,635000,4,2.5,2320,1986
111,3,1,0,0,0,0,1,0,0,Single Family Residential,449908,449900,20191,467000,3,3,1660,1975
113,13,1,0,0,0,0,1,1,1,Single Family Residential,1047847,1075000,20194,1038888,5,3.5,4330,1997
114,12,1,0,0,0,0,1,1,1,Condo/Co-op,285818,297500,20190,280000,2,2,934,1985
115,24,1,0,0,0,0,1,0,1,Townhouse,601612,595000,20191,575000,4,3.5,2332,1972
116,18,1,0,0,1,1,1,0,1,Single Family Residential,838164,795000,20191,817500,5,3.5,4504,1985
117,26,1,0,0,0,0,1,1,1,Single Family Residential,1173537,1175000,20194,1200000,4,4.5,4592,1983
118,23,1,0,0,0,0,1,1,1,Townhouse,653863,650000,20194,650000,3,3,2080,1992
119,11,0,0,0,1,0,0,0,0,Townhouse,879783,915995,20191,848097,3,3.5,2873,2019
120,13,1,0,0,0,0,1,0,1,Townhouse,550978,539000,20194,533000,3,3,2229,1997
123,23,1,0,0,0,0,1,1,1,Townhouse,396033,369900,20194,370000,2,1.5,1210,1983
124,5,1,0,0,0,0,1,1,0,Condo/Co-op,96740,118000,20191,91000,0,1,426,1985
125,2,1,0,0,0,0,1,0,0,Single Family Residential,840126,899000,20191,850000,4,3.5,2208,1980
126,2,1,0,0,0,0,1,1,0,Condo/Co-op,485519,504995,20190,494000,2,2,1271,2001
127,27,1,0,0,0,0,1,1,1,Single Family Residential,824897,799900,20194,780000,4,3.5,3000,1984
128,12,1,0,0,0,0,1,1,1,Single Family Residential,881307,874900,20194,845000,5,3.5,4410,1999
129,23,1,0,0,0,0,1,1,1,Townhouse,472869,455000,20190,455000,3,3.5,2328,1970
130,16,1,0,0,0,0,1,0,0,Townhouse,513238,500000,20190,500000,2,2,1530,1965
